strain_i,strain_j,meta_r,clade_i,clade_j,pair_type
AKM,BNV,0.0508152154891364,19. Malaysian,1. Wine/European,Different clade
AKM,BQM,0.09386128179697573,19. Malaysian,1. Wine/European,Different clade
AKM,BVG,0.0909695556290351,19. Malaysian,3. Brazilian bioethanol,Different clade
AKM,CAE,0.0800065941995127,19. Malaysian,1. Wine/European,Different clade
AKM,CBN,0.06726006742688741,19. Malaysian,7. Mosaic beer,Different clade
AKM,CCD,0.11704950704009488,19. Malaysian,21. Ecuadorean,Different clade
AKM,CCG,0.07331684221269706,19. Malaysian,21. Ecuadorean,Different clade
AKM,CCN,0.08077948360936106,19. Malaysian,18. Far East Asia,Different clade
AKM,CCQ,0.09320272191033367,19. Malaysian,18. Far East Asia,Different clade
AKM,CCR,0.09148470238881001,19. Malaysian,18. Far East Asia,Different clade
AKM,CCS,0.11737570250619325,19. Malaysian,18. Far East Asia,Different clade
AKM,CCV,0.0851287673605112,19. Malaysian,24. Asian islands,Different clade
AKM,CDE,0.09818403301126014,19. Malaysian,M3. Mosaic region 3,Different clade
AKM,CDL,0.10250958060653974,19. Malaysian,18. Far East Asia,Different clade
AKM,CDT,0.02628730043877063,19. Malaysian,2. Alpechin,Different clade
AKM,CEG,0.04956549221288005,19. Malaysian,17. Taiwanese,Different clade
AKM,CFF,0.0871327397348743,19. Malaysian,7. Mosaic beer,Different clade
AKM,CGL,0.07944921559789439,19. Malaysian,26. Asian fermentation,Different clade
AKM,CGN,0.12078407018837814,19. Malaysian,26. Asian fermentation,Different clade
AKM,CGS,0.07529610586000116,19. Malaysian,1. Wine/European,Different clade
AKM,CLB,0.0841791104991133,19. Malaysian,4. Mediterranean oak,Different clade
AKM,CLI,0.08634746420015117,19. Malaysian,25. Sake,Different clade
AKM,CLN,0.05853305273292532,19. Malaysian,25. Sake,Different clade
AKM,CLP,0.08457879137929178,19. Malaysian,25. Sake,Different clade
AKM,CMI,0.07752373918927162,19. Malaysian,25. Sake,Different clade
AKM,CPI,0.06618135779422223,19. Malaysian,9. Mexican agave,Different clade
AKM,CPK,0.10703052343857042,19. Malaysian,9. Mexican agave,Different clade
AKM,CPN,0.07420199359595839,19. Malaysian,9. Mexican agave,Different clade
AKM,CQD,0.1252651855171704,19. Malaysian,12. West African cocoa,Different clade
AKM,CQF,0.10949964500200605,19. Malaysian,12. West African cocoa,Different clade
AKM,SACE_YCE,0.0656322209576822,19. Malaysian,M3. Mosaic region 3,Different clade
AKM,SACE_YCK,0.02778882021572717,19. Malaysian,26. Asian fermentation,Different clade
AKM,SACE_YCM,0.042477260473458366,19. Malaysian,24. Asian islands,Different clade
AKM,SACE_YCR,0.12124555099476854,19. Malaysian,18. Far East Asia,Different clade
AKM,SACE_YCU,0.07636650462641863,19. Malaysian,23. North American oak,Different clade
AMP,AFE,0.0032618484959491163,M1. Mosaic region 1,8. Mixed origin,Different clade
AMP,AKH,0.04800297741808943,M1. Mosaic region 1,13. African palm wine,Different clade
AMP,AKI,0.052431390830708656,M1. Mosaic region 1,M3. Mosaic region 3,Different clade
AMP,AKM,0.05771739412147351,M1. Mosaic region 1,19. Malaysian,Different clade
AMP,ANG,0.04968061560965148,M1. Mosaic region 1,23. North American oak,Different clade
AMP,ANN,0.055192931438502374,M1. Mosaic region 1,12. West African cocoa,Different clade
AMP,ATS,0.09645180384367298,M1. Mosaic region 1,8. Mixed origin,Different clade
AMP,BAF,0.067011987590904,M1. Mosaic region 1,13. African palm wine,Different clade
AMP,BAG,0.0611956544899857,M1. Mosaic region 1,15. CHNII,Different clade
AMP,BAI,0.06594180285966851,M1. Mosaic region 1,18. Far East Asia,Different clade
AMP,BAK,0.08596067925196718,M1. Mosaic region 1,18. Far East Asia,Different clade
AMP,BAL,0.08916272436175651,M1. Mosaic region 1,16. CHNI,Different clade
AMP,BAM,0.06749478506226628,M1. Mosaic region 1,14. CHNIII,Different clade
AMP,BAN,0.07797781405206947,M1. Mosaic region 1,20. CHN V,Different clade
AMP,BAP,0.06304449493523327,M1. Mosaic region 1,20. CHN V,Different clade
AMP,BBQ,0.07636959375195787,M1. Mosaic region 1,4. Mediterranean oak,Different clade
AMP,BCK,0.08062959957536261,M1. Mosaic region 1,10. French Guiana human,Different clade
AMP,BDB,0.07270031462821692,M1. Mosaic region 1,M2. Mosaic region 2,Different clade
AMP,BDP,0.06548354273789475,M1. Mosaic region 1,10. French Guiana human,Different clade
AMP,BEF,0.0892912394647444,M1. Mosaic region 1,26. Asian fermentation,Different clade
AMP,BFH,0.06050558414068685,M1. Mosaic region 1,5. French dairy,Different clade
AMP,BFP,0.08611979592131584,M1. Mosaic region 1,4. Mediterranean oak,Different clade
AMP,BGD,0.016162848097774282,M1. Mosaic region 1,5. French dairy,Different clade
AMP,BGF,0.05633167660184756,M1. Mosaic region 1,5. French dairy,Different clade
AMP,BHG,0.05016374703985263,M1. Mosaic region 1,M2. Mosaic region 2,Different clade
AMP,BHK,0.06974977201287932,M1. Mosaic region 1,M1. Mosaic region 1,Same clade
AMP,BHM,0.027873451096850854,M1. Mosaic region 1,M1. Mosaic region 1,Same clade
AMP,BHQ,0.09653162101918528,M1. Mosaic region 1,26. Asian fermentation,Different clade
AMP,BMA,0.057509283998877066,M1. Mosaic region 1,19. Malaysian,Different clade
AMP,BMB,0.046514374082332145,M1. Mosaic region 1,19. Malaysian,Different clade
AMP,BMC,0.022578433681751317,M1. Mosaic region 1,19. Malaysian,Different clade
AMP,BNC,0.08487906904473906,M1. Mosaic region 1,10. French Guiana human,Different clade
AMP,BNV,0.061009955617977396,M1. Mosaic region 1,1. Wine/European,Different clade
AMP,BQM,0.0896084016622767,M1. Mosaic region 1,1. Wine/European,Different clade
AMP,BVG,0.04902179253610933,M1. Mosaic region 1,3. Brazilian bioethanol,Different clade
AMP,CAE,0.11397910521296535,M1. Mosaic region 1,1. Wine/European,Different clade
AMP,CBN,0.04180643095552743,M1. Mosaic region 1,7. Mosaic beer,Different clade
AMP,CCD,0.08949048614538517,M1. Mosaic region 1,21. Ecuadorean,Different clade
