"gene","name","n_strains_fit","mean_r2","median_r2","sd_r2","mean_amp","sd_amp","cv_amp","amp_range","mean_peak","sd_peak","n_strains_total","n_not_detected","pct_strains_detected","mean_pct_expressed","sd_r2_null_mean","sd_r2_z","sd_r2_p","cv_amp_null_mean","cv_amp_z","cv_amp_p","sd_peak_null_mean","sd_peak_z","sd_peak_p","sd_r2_p_fdr","cv_amp_p_fdr","sd_peak_p_fdr"
"YNL046W","YNL046W",74,0.103336294106929,0.106405948117943,0.0764259367251609,0.132303451617024,0.0938949012951132,0.709693512508718,0.397782987370085,8.00921909543272,6.80641135249793,74,0,1,0.149514563106796,0.0718012889230164,0.472360722813394,0.289421157684631,0.581686760156605,2.2462891393449,0.00798403193612774,5.31076512412872,1.18006806821093,0.119760479041916,0.487053864299373,0.0265025504546463,0.268758258131624
"YOR052C","YOR052C",74,0.0258643317272757,0.0176357871488086,0.0786498630659524,0.0496538790387653,0.0663606983509164,1.33646554177787,0.271231556758135,54.1242569702313,19.7115123339625,74,0,1,0.337738803632947,0.041292734668097,4.62860947962262,0.00399201596806387,1.58311189285923,-1.2521917619962,0.922155688622755,22.6750943372012,-1.40676446226624,0.926147704590818,0.0454329436365365,0.954091816367265,0.979421687598255
"YBR053C","YBR053C",74,0.0111046581850515,0.00831427918693167,0.0385108008958869,0.0423113070836197,0.0604306384402827,1.42823851602726,0.313971711927521,5.94140808339232,18.4020108676575,74,0,1,0.149326652051362,0.0413302953969634,-0.31049411060943,0.562874251497006,1.42210761628577,0.0346744067896234,0.395209580838323,18.7136467937348,-0.201948011248239,0.550898203592814,0.700661177644711,0.495827243151492,0.694800372869038
"YDL089W","NUR1",74,0.00430005616675235,0.00358596186112697,0.032342035023476,0.0284447954191777,0.0484146887439438,1.70205789953765,0.284164936215133,6.05135989917297,19.9412939286655,74,0,1,0.106169746320075,0.0382516904481242,-0.730000526431575,0.768463073852295,1.49950322235804,1.11751675708302,0.119760479041916,20.5354799689236,-0.366381985687965,0.604790419161677,0.840561440048964,0.208165487207403,0.745076856596086
"YFL011W","HXT10",4,-0.0168093976769927,-0.0050974486951223,0.0297771540746414,0.000740987956431201,0.0014819759128624,2,0.0029639518257248,59,17.9755278332709,74,70,0.0540540540540541,0.000250548073911682,0.0253820538349455,0.21450674369997,0.225548902195609,1.60833001808467,0.97315058611369,0.44040404040404,17.6264056119664,0.123980215746443,0.660678642714571,0.434727319554439,0.532944636235775,0.793478369893379
"YOR342C","YOR342C",74,0.152305303022271,0.162553044925873,0.0676410561750746,0.407426636802931,0.18947099968559,0.465043231273157,1.18192597093812,12.7307272626257,6.33465011092602,74,0,1,0.508299404948324,0.0725900598032417,-0.642333928630338,0.736526946107784,0.328659083971795,3.65768611024304,0.00199600798403194,5.498770601941,1.2151891785056,0.13373253493014,0.814953426480373,0.0100430717512344,0.289249555188266
"YIL009W","FAA3",74,0.0840253099514689,0.0848039382170919,0.0644439664725791,0.193155118296796,0.122138291597072,0.632332669587342,0.507973352401828,9.17949302444227,10.4550595662349,74,0,1,0.337613529595991,0.0604966692307749,0.484136191317341,0.273453093812375,0.572832527805702,1.15818876496823,0.111776447105788,6.61789019953884,3.57051372468495,0.00199600798403194,0.475311195790238,0.199362469091667,0.0164498589028839
"YKL104C","GFA1",74,0.209738640479885,0.215510849674138,0.093451942120312,0.530347133428275,0.208319987385932,0.392799308708069,0.984389152311844,0.730063540171086,5.40248775945186,74,0,1,0.599624177889132,0.0795788177920497,1.65462363434853,0.0678642714570858,0.281459150394325,3.22487798360289,0.00199600798403194,4.53747276542117,1.37184186697029,0.0778443113772455,0.247626883637306,0.0100430717512344,0.202225982816975
"YOR242C","SSP2",67,0.00143114009388136,-0.00354746143033391,0.0381287677948901,0.0107606234462341,0.0305332459711954,2.83749785723437,0.219326957773307,30.1084592855554,22.7653228402382,74,7,0.905405405405405,0.0184152834325086,0.0250671348025578,1.41391796340865,0.0818363273453094,1.75108671666139,3.41713359944133,0.0139720558882236,24.2899270596122,-0.705353407247908,0.764471057884232,0.271651142160124,0.0409732681875513,0.861832937897789
"YFL065C","YFL065C",2,0.00576264694175427,0.00576264694175427,0.0260345718722912,0.0250797853276099,0.0354681725517117,1.4142135623731,0.0501595706552199,11.5,7.69179302247595,74,72,0.027027027027027,0.000375822110867523,0.00669015686093806,1.84475525387905,0.0179640718562874,0.947578049229439,1.45579895607926,0.093812375249501,9.83104591523868,-3.12484879176539,0.99001996007984,0.120941216159231,0.175852217134359,1
"YLR452C","SST2",72,0.00397365703304389,-0.00295819712806,0.032304519750663,0.0152267322359178,0.02772304095185,1.8206822397819,0.114412790203572,63.4261212639728,25.3184584353815,74,2,0.972972972972973,0.0501096147823364,0.0337229047608339,-0.162385914637591,0.489021956087824,1.6811226619981,0.499510908825101,0.231536926147705,23.692901346901,0.784193456344234,0.199600798403194,0.651121156016658,0.336397114585419,0.362772553751812
