"condition","gene","r","cor_category"
"YPD","YDR205W",0.178200829193314,"low (<0.4)"
"YPD","YDR206W",0.311368062317429,"low (<0.4)"
"YPD","UME6",0.138708342503184,"low (<0.4)"
"YPD","YDR208W",0.21881694255112,"low (<0.4)"
"YPD","YDR210W",0.800219084712756,"high (≥0.7)"
"YPD","YDR211W",0.232667964946446,"low (<0.4)"
"YPD","TCP1",0.278286270691334,"low (<0.4)"
"YPD","UPC2",0.293148150597756,"low (<0.4)"
"YPD","YDR214W",0.631134371957157,"moderate (0.4–0.7)"
"YPD","YDR216W",-0.0291349083971243,"low (<0.4)"
"YPD","YDR217C",0.431986368062317,"moderate (0.4–0.7)"
"YPD","YDR219C",0.261339500393495,"low (<0.4)"
"YPD","YDR221W",0.192550214451543,"low (<0.4)"
"YPD","YDR222W",0.605428432327167,"moderate (0.4–0.7)"
"YPD","YDR223W",0.340919988331469,"low (<0.4)"
"YPD","HTB1",0.366382667964946,"low (<0.4)"
"YPD","HTA1",0.456012658227848,"moderate (0.4–0.7)"
"YPD","ADK1",0.760662122687439,"high (≥0.7)"
"YPD","SIR4",0.00747367781799198,"low (<0.4)"
"YPD","YDR228C",-0.171658095759371,"low (<0.4)"
"YPD","YDR229W",0.193171444579043,"low (<0.4)"
"YPD","YDR231C",0.471631399907711,"moderate (0.4–0.7)"
"YPD","HEM1",0.482570593962999,"moderate (0.4–0.7)"
"YPD","YDR233C",0.611538461538462,"moderate (0.4–0.7)"
"YPD","LYS4",0.649298011806156,"moderate (0.4–0.7)"
"YPD","PRP42",0.0618807663466295,"low (<0.4)"
"YPD","YDR236C",0.412974683544304,"moderate (0.4–0.7)"
"YPD","MRPL7",0.737828627069133,"high (≥0.7)"
"YPD","YDR238C",0.284444985394353,"low (<0.4)"
"YPD","YDR239C",0.138099759041868,"low (<0.4)"
"YPD","SNU56",0.0634288845432511,"low (<0.4)"
"YPD","YDR242W",0.341542658743645,"low (<0.4)"
"YPD","YDR243C",0.140907818432904,"low (<0.4)"
"YPD","PEX5",0.26767934962531,"low (<0.4)"
"YPD","MNN10",0.451850048685492,"moderate (0.4–0.7)"
"YPD","YDR246W",0.268455967875917,"low (<0.4)"
"YPD","YDR247W",-0.0672590509458992,"low (<0.4)"
"YPD","YDR248C",0.676548455451377,"moderate (0.4–0.7)"
"YPD","YDR249C",0.0751498936615006,"low (<0.4)"
"YPD","YDR251W",0.17626582278481,"low (<0.4)"
"YPD","YDR252W",0.292930522420761,"low (<0.4)"
"YPD","YDR253C",0.44168090106999,"moderate (0.4–0.7)"
"YPD","CHL4",0.41210837720109,"moderate (0.4–0.7)"
"YPD","RMD5",0.288698337310507,"low (<0.4)"
"YPD","YDR256C",0.325643713391464,"low (<0.4)"
"YPD","RKM4",0.397151898734177,"low (<0.4)"
"YPD","YDR258C",0.575475558605669,"moderate (0.4–0.7)"
"YPD","YAP6",0.426271011088256,"moderate (0.4–0.7)"
"YPD","SWM1",0.62921129503408,"moderate (0.4–0.7)"
"YPD","YDR261C",0.397482944767248,"low (<0.4)"
"YPD","YDR262W",0.412525105748479,"moderate (0.4–0.7)"
"YPD","DIN7",0.187800445097605,"low (<0.4)"
"YPD","YDR264C",0.226290165530672,"low (<0.4)"
"YPD","PEX10",0.143462381300219,"low (<0.4)"
"YPD","YDR266C",0.272005842259007,"low (<0.4)"
"YPD","YDR267C",0.146713729308666,"low (<0.4)"
"YPD","MSW1",0.189453184463917,"low (<0.4)"
